adid,bkid
169,125
67,6016
217,6021
92,1393
142,129
125,131
102,132
110,133
183,134
46,135
160,136
414,1394
45,12
46,12
47,13
46,13
45,14
46,14
26,15
39,16
40,17
46,18
103,138
128,6022
117,140
76,141
125,142
1011,144
116,145
106,146
103,147
186,6030
183,149
40,55
1059,56
27,58
199,60
34,61
40,63
195,64
873,65
178,1398
101,68
110,69
226,71
228,72
286,73
98,77
228,78
160,79
342,82
342,83
164,84
106,85
765,86
168,6012
290,88
20,89
230,90
294,91
40,92
338,94
133,95
870,96
169,98
180,99
183,100
112,103
1139,6031
22,105
79,106
233,107
470,108
229,109
26,110
65,6032
280,113
1011,115
78,116
152,117
103,118
29,119
98,120
230,122
236,123
160,6036
557,150
261,151
141,152
1174,6040
74,157
164,158
32,240
199,160
102,162
28,164
875,165
259,167
111,169
272,170
161,172
133,173
273,177
26,178
195,179
164,180
144,181
169,6064
209,184
141,188
131,189
810,190
164,191
285,3044
144,5418
280,194
169,196
520,197
32,199
312,201
181,203
125,204
112,205
92,207
99,1401
29,210
98,211
107,212
180,213
193,214
342,216
161,217
85,218
236,220
745,221
125,222
106,223
131,224
810,225
60,227
164,228
142,229
77,231
209,232
32,234
25,235
100,241
209,243
64,247
289,248
736,2551
161,251
29,254
289,255
136,257
180,259
81,261
113,262
142,263
145,6076
27,266
279,6079
237,271
145,272
1105,6094
164,275
111,281
145,282
184,284
542,1381
142,290
472,292
240,293
101,296
197,297
141,6097
26,302
125,305
41,306
228,309
225,2553
226,315
28,316
164,319
206,322
102,323
314,6098
768,326
719,6102
283,195
29,233
316,1403
185,237
319,6125
107,310
142,314
195,317
155,318
572,6126
138,329
46,333
981,6127
571,1404
101,336
282,337
134,339
53,340
71,341
501,6131
290,343
291,344
371,345
1078,6133
1226,6135
289,349
146,354
286,355
283,356
46,357
688,6138
338,359
288,3047
125,362
164,365
271,366
125,367
134,370
109,371
117,372
236,375
390,380
161,382
84,383
779,6155
134,386
720,6159
41,390
110,392
182,393
143,396
65,400
195,401
125,404
166,407
79,410
226,411
280,412
96,415
164,417
164,418
602,6170
53,424
129,426
181,427
